new_lane,product,tonnage,new_rate,matched_lane,matched_rate,score,abs_diff,pct_diff
KOLNGO F24- ATHIRIVER LAT BEER,BEER,14T,33717.07,KBL NBO F20 - ATHIRIVER 14T BEER,656.19,0.8,33060.88,5038.309026349075
NEO F24. BOMET 147 BEER,BEER,24T,57363.99,KBL NBO F20 - BOMET 14T BEER,893.87,0.7692307692307693,56470.119999999995,6317.486882880061
NBO F24- RUNGOMA 147 BEER,BEER,24T,99104.0,KBL NBO F20 - BUNGOMA 14T BEER,372.05,0.7906976744186046,98731.95,26537.27993549254
NBO F24- BUSIA 347 BEER,BEER,24T,110943.09,KBL NBO F20 - BUSIA 14T BEER,349.58,0.7692307692307693,110593.51,31636.10904513988
NDO F24-CHUKA 147 BEER,BEER,24T,30743.01,KBL NBO F20 - CHUKA 14T BEER,285.5,0.7692307692307693,30457.51,10668.129597197898
NBO F24 - ELDORET 147 BEER,BEER,24T,79998.73,KBL NBO F20 - ELDORET 14T BEER,990.52,0.8372093023255814,79008.20999999999,7976.437628720268
NBO F24 . EMOU 147 BEER,BEER,24T,34004.38,KBL NBO F20 - EMBU 14T BEER,57.53,0.7567567567567568,33946.85,59007.213627672514
KBLNEO F24- GIKOMBA 147 BEER,BEER,24T,15851.56,KBL NBO F20 - GIKOMBA 14T BEER,534.24,0.8695652173913043,15317.32,2867.1233902365975
F24 . HURLIGHUM DEF 147 BEER,BEER,24T,31508.82,KBL NBO F20 - HURLIGHUM DEF 14T Beer,111.04,0.8,31397.78,28276.098703170028
NBO F24 - INDUSTRIAL AREA 14T BEER,BEER,14T,12329.14,KBL NBO F20 - INDUSTRIAL AREA 14T BEER,111.04,0.9122807017543859,12218.099999999999,11003.33213256484
NBO F24 . ISIOLO 147 BEER,BEER,24T,57558.23,KBL NBO F20 - ISIOLO 14T BEER,296.15,0.8292682926829268,57262.08,19335.498902583153
NAO F24- KABARNET 147 BEER,BEER,24T,81725.2,KBL NBO F20 - KABARNET 14T BEER,752.24,0.8,80972.95999999999,10764.245453578644
NBO F24- KABATI 147 BEER,BEER,24T,16021.06,KBL NBO F20 - KABATI 14T BEER,923.65,0.8292682926829268,15097.41,1634.53797434093
NBO F24 - KANGEMA LAT BEER,BEER,14T,27165.18,KBL NBO F20 - Kangema 14T BEER,682.83,0.7906976744186046,26482.35,3878.322569307148
NGO F24. KIBERA 147 BEER,BEER,24T,10372.17,KBL NBO F20 - KIBERA 14T BEER,243.03,0.7804878048780488,10129.14,4167.855820269102
NBO F24 - KISH 147 BEER,BEER,24T,74580.04,KBL NBO F20 - KISII 14T BEER,462.18,0.7368421052631579,74117.86,16036.578822103942
NEO F24- KITALE 147 BEER,BEER,24T,4274.52,KBL NBO F20 - KITALE 14T BEER,577.75,0.7804878048780488,3696.7700000000004,639.8563392470793
NBO F24 - KITU 147 BEER,BEER,24T,41298.1,KBL NBO F20 - KITUI 14T BEER,500.1,0.7894736842105263,40798.0,8157.968406318736
NBO F24 - LANET 147 BEER,BEER,24T,46202.47,KBL NBO F20 - LANET 14T Beer,504.56,0.8205128205128205,45697.91,9056.98232123038
NBO F24- LIMURU 141 BEER,BEER,24T,15643.03,KBL NBO F20 - LIMURU 14T BEER,321.46,0.8292682926829268,15321.570000000002,4766.244633858024
NBO F24 - MACHAKOS 147 BEER,BEER,24T,22126.95,KBL NBO F20 - MACHAKOS 14T BEER,937.71,0.8444444444444444,21189.24,2259.6794318072753
NEO F24 - MARALAL 147 BEER,BEER,24T,73765.55,KBL NBO F20 - MARALAL 14T BEER,993.59,0.7906976744186046,72771.96,7324.143761511287
NEO F24. MATHARE 147 BEER,BEER,24T,10764.17,KBL NBO F20 - MATHARE 14T Beer,243.03,0.7906976744186046,10521.14,4329.152779492244
KBLNGO F24- MERU 14T BEER,BEER,14T,49332.59,KBL NBO F20 - MERU 14T BEER,698.56,0.9,48634.03,6962.040483279891
NBO F24 - MOGOTIO 147 BEER,BEER,24T,56023.16,KBL NBO F20 - MOGOTIO 14T Beer,525.67,0.8372093023255814,55497.490000000005,10557.47712443168
NBO F24 - MTONGWE 147 BEER,BEER,24T,417378.03,KBL NBO F20 - MTONGWE 14T Beer,216.9,0.8372093023255814,417161.13,192328.78284923927
NBO F24 - MURANGA 147 BEER,BEER,24T,24495.0,KBL NBO F20 - MURANGA 14T BEER,354.08,0.8372093023255814,24140.92,6817.928151830095
NBO F24 - MWIKI14T BEER,BEER,14T,10764.17,KBL NBO F20 - MWIKI 14T BEER,243.03,0.8717948717948718,10521.14,4329.152779492244
KBLNOO F24 - NAIROBI 147 BEER,BEER,24T,13476.02,KBL NBO F20 - NAIROBI 14T BEER,111.04,0.8695652173913043,13364.98,12036.18515850144
NBO F24 - NRB NASRA 14T BEER,BEER,14T,10666.17,KBL NBO F20 - NRB NASRA 14T Beer,243.03,0.8888888888888888,10423.14,4288.8285396864585
NBO F24 - RONGAI14T BEER,BEER,14T,11899.85,KBL NBO F20 - Rongai 14T BEER,401.88,0.8780487804878049,11497.970000000001,2861.045585746989
NBO F24- RUIRU 147 BEER,BEER,24T,13476.82,KBL NBO F20 - RUIRU 14T BEER,111.04,0.8205128205128205,13365.779999999999,12036.90561959654
NBO F24- TALA 147 BEER,BEER,24T,29031.72,KBL NBO F20 - TALA 14T BEER,983.38,0.8108108108108109,28048.34,2852.2381988651387
NBO F24. UKUNDA 147 BEER,BEER,24T,124170.03,KBL NBO F20 - UKUNDA 14T Beer,446.86,0.8292682926829268,123723.17,27687.23313789554
NBO F24- CHUKA 307 BEUR BEER,BEER,24T,69045.12,KBL NBO F20 - CHUKA 30T BEER,813.39,0.7441860465116279,68231.73,8388.562682108213
KOLNBO F24. EMALI30T BEER,BEER,30T,52623.99,KBL NBO F20 - EMALI 30T BEER,57.14,0.9047619047619048,52566.85,91996.58732936646
KOLNDO F24- EMBU 30T BEER,BEER,30T,56317.1,KBL NBO F20 - EMBU 30T BEER,26.67,0.85,56290.43,211062.72965879267
NBO F24- GARISSA 30T BEER,BEER,30T,149174.63,KBL NBO F20 - GARISSA 30T BEER,578.2,0.8837209302325582,148596.43,25699.832237979932
